priority,wave,status,jobId,modelId,variant,category,family,variantSubject,purpose,targetPolygons,referenceImage,canonicalIncoming,canonicalProcessed,donorOwns,engineOwns,expectedProceduralReplacements,acceptanceFocus,meshyPrompt
10,A1,queued,M071-A,M071,A,light,Hooded mine work lamp,hooded oil lamp,"Directional task light that can mount to posts, walls, carts, machinery, or work faces.",500,reference-images/M071-A-hooded-mine-work-lamp-v1.png,incoming/M071-A-hooded-mine-work-lamp-smart-500.glb,processed/M071-A-hooded-mine-work-lamp-clean-v1.glb,"the lore-native fixture body, open fuel or emission socket, mount, hood, shield, and thick readable supports; for this row, specifically the hooded oil lamp","flame or cool emitter, emission, flicker, illumination, smoke, fuel, wall or ceiling registration, materials, collision, culture, and damage","flame, glow volume, light object, smoke, chain, glass panes, fuel, fasteners, and standardized mount hardware","the empty emitter socket and frame openings remain real; no baked flame, glow, smoke, or hair-thin metal survives as required geometry","Create exactly one low-poly medieval-fantasy hooded mine work lamp donor for Genesis. Variant: hooded oil lamp. Functional purpose: Directional task light that can mount to posts, walls, carts, machinery, or work faces. Match the supplied reference image exactly and preserve the lore-native fixture body, open fuel or emission socket, mount, hood, shield, and thick readable supports; for this row, specifically the hooded oil lamp. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: flame or cool emitter, emission, flicker, illumination, smoke, fuel, wall or ceiling registration, materials, collision, culture, and damage. Exactly one coherent object or intentionally fused cluster."
10,A1,queued,M072-A,M072,A,light,Portable table and hand lantern,squat oil lantern,"Human-scale light that can sit on counters, altars, ledges, wagons, and workstations.",500,reference-images/M072-A-portable-table-and-hand-lantern-v1.png,incoming/M072-A-portable-table-and-hand-lantern-smart-500.glb,processed/M072-A-portable-table-and-hand-lantern-clean-v1.glb,"the lore-native fixture body, open fuel or emission socket, mount, hood, shield, and thick readable supports; for this row, specifically the squat oil lantern","flame or cool emitter, emission, flicker, illumination, smoke, fuel, wall or ceiling registration, materials, collision, culture, and damage","flame, glow volume, light object, smoke, chain, glass panes, fuel, fasteners, and standardized mount hardware","the empty emitter socket and frame openings remain real; no baked flame, glow, smoke, or hair-thin metal survives as required geometry","Create exactly one low-poly medieval-fantasy portable table and hand lantern donor for Genesis. Variant: squat oil lantern. Functional purpose: Human-scale light that can sit on counters, altars, ledges, wagons, and workstations. Match the supplied reference image exactly and preserve the lore-native fixture body, open fuel or emission socket, mount, hood, shield, and thick readable supports; for this row, specifically the squat oil lantern. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: flame or cool emitter, emission, flicker, illumination, smoke, fuel, wall or ceiling registration, materials, collision, culture, and damage. Exactly one coherent object or intentionally fused cluster."
10,A1,queued,M073-A,M073,A,light,Ritual cold-light vessel,crystal reliquary cup,"Lore-native cool magic source with the visible material itself emitting, avoiding a free-floating bulb.",600,reference-images/M073-A-ritual-cold-light-vessel-v1.png,incoming/M073-A-ritual-cold-light-vessel-smart-600.glb,processed/M073-A-ritual-cold-light-vessel-clean-v1.glb,"the lore-native fixture body, open fuel or emission socket, mount, hood, shield, and thick readable supports; for this row, specifically the crystal reliquary cup","flame or cool emitter, emission, flicker, illumination, smoke, fuel, wall or ceiling registration, materials, collision, culture, and damage","flame, glow volume, light object, smoke, chain, glass panes, fuel, fasteners, and standardized mount hardware","the empty emitter socket and frame openings remain real; no baked flame, glow, smoke, or hair-thin metal survives as required geometry","Create exactly one low-poly medieval-fantasy ritual cold-light vessel donor for Genesis. Variant: crystal reliquary cup. Functional purpose: Lore-native cool magic source with the visible material itself emitting, avoiding a free-floating bulb. Match the supplied reference image exactly and preserve the lore-native fixture body, open fuel or emission socket, mount, hood, shield, and thick readable supports; for this row, specifically the crystal reliquary cup. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: flame or cool emitter, emission, flicker, illumination, smoke, fuel, wall or ceiling registration, materials, collision, culture, and damage. Exactly one coherent object or intentionally fused cluster."
10,A1,queued,M074-A,M074,A,light,Living or mineral cool-light cluster,shelf-fungus lamp cluster,"Sunless readable cool source for lairs and mines, grounded in fungus, crystal, or bioluminescent growth.",700,reference-images/M074-A-living-or-mineral-cool-light-cluster-v1.png,incoming/M074-A-living-or-mineral-cool-light-cluster-smart-700.glb,processed/M074-A-living-or-mineral-cool-light-cluster-clean-v1.glb,"the lore-native fixture body, open fuel or emission socket, mount, hood, shield, and thick readable supports; for this row, specifically the shelf-fungus lamp cluster","flame or cool emitter, emission, flicker, illumination, smoke, fuel, wall or ceiling registration, materials, collision, culture, and damage","flame, glow volume, light object, smoke, chain, glass panes, fuel, fasteners, and standardized mount hardware","the empty emitter socket and frame openings remain real; no baked flame, glow, smoke, or hair-thin metal survives as required geometry","Create exactly one low-poly medieval-fantasy living or mineral cool-light cluster donor for Genesis. Variant: shelf-fungus lamp cluster. Functional purpose: Sunless readable cool source for lairs and mines, grounded in fungus, crystal, or bioluminescent growth. Match the supplied reference image exactly and preserve the lore-native fixture body, open fuel or emission socket, mount, hood, shield, and thick readable supports; for this row, specifically the shelf-fungus lamp cluster. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: flame or cool emitter, emission, flicker, illumination, smoke, fuel, wall or ceiling registration, materials, collision, culture, and damage. Exactly one coherent object or intentionally fused cluster."
10,A1,queued,M075-A,M075,A,light,Beacon and signal-fire basket,raised fire basket,"Larger warm landmark for gates, ridges, guard posts, mine mouths, alarms, and navigation.",900,reference-images/M075-A-beacon-and-signal-fire-basket-v1.png,incoming/M075-A-beacon-and-signal-fire-basket-smart-900.glb,processed/M075-A-beacon-and-signal-fire-basket-clean-v1.glb,"the lore-native fixture body, open fuel or emission socket, mount, hood, shield, and thick readable supports; for this row, specifically the raised fire basket","flame or cool emitter, emission, flicker, illumination, smoke, fuel, wall or ceiling registration, materials, collision, culture, and damage","flame, glow volume, light object, smoke, chain, glass panes, fuel, fasteners, and standardized mount hardware","the empty emitter socket and frame openings remain real; no baked flame, glow, smoke, or hair-thin metal survives as required geometry","Create exactly one low-poly medieval-fantasy beacon and signal-fire basket donor for Genesis. Variant: raised fire basket. Functional purpose: Larger warm landmark for gates, ridges, guard posts, mine mouths, alarms, and navigation. Match the supplied reference image exactly and preserve the lore-native fixture body, open fuel or emission socket, mount, hood, shield, and thick readable supports; for this row, specifically the raised fire basket. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: flame or cool emitter, emission, flicker, illumination, smoke, fuel, wall or ceiling registration, materials, collision, culture, and damage. Exactly one coherent object or intentionally fused cluster."
20,A2,queued,M020-A,M020,A,mechanism,Two-wheel handcart,shallow tray cart,"Human-scale carrier suitable for markets, camps, workshops, corpses, tools, and improvised barricades.",1200,reference-images/M020-A-two-wheel-handcart-v1.png,incoming/M020-A-two-wheel-handcart-smart-1200.glb,processed/M020-A-two-wheel-handcart-clean-v1.glb,"the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the shallow tray cart","animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority","dirty repeated wheels, hair-thin rope or chain, fasteners, handles, sockets, and standardized bars or axles","major parts remain legible in orbit and can be grouped deterministically; no fused moving state, dense fastener noise, or warped repeated parts","Create exactly one low-poly medieval-fantasy two-wheel handcart donor for Genesis. Variant: shallow tray cart. Functional purpose: Human-scale carrier suitable for markets, camps, workshops, corpses, tools, and improvised barricades. Match the supplied reference image exactly and preserve the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the shallow tray cart. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority. Exactly one coherent object or intentionally fused cluster."
20,A2,queued,M021-A,M021,A,mechanism,Mine ore cart,low iron-shod cart,Compact industrial tub and wheel assembly that can run on rails or a prepared haul route.,1100,reference-images/M021-A-mine-ore-cart-v1.png,incoming/M021-A-mine-ore-cart-smart-1100.glb,processed/M021-A-mine-ore-cart-clean-v1.glb,"the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the low iron-shod cart","animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority","dirty repeated wheels, hair-thin rope or chain, fasteners, handles, sockets, and standardized bars or axles","major parts remain legible in orbit and can be grouped deterministically; no fused moving state, dense fastener noise, or warped repeated parts","Create exactly one low-poly medieval-fantasy mine ore cart donor for Genesis. Variant: low iron-shod cart. Functional purpose: Compact industrial tub and wheel assembly that can run on rails or a prepared haul route. Match the supplied reference image exactly and preserve the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the low iron-shod cart. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority. Exactly one coherent object or intentionally fused cluster."
20,A2,queued,M022-A,M022,A,mechanism,Sledge and travois carrier,timber sledge,"Wheel-free hauling platform for rough ground, snow, mud, camp movement, and creature or humanoid drag teams.",900,reference-images/M022-A-sledge-and-travois-carrier-v1.png,incoming/M022-A-sledge-and-travois-carrier-smart-900.glb,processed/M022-A-sledge-and-travois-carrier-clean-v1.glb,"the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the timber sledge","animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority","dirty repeated wheels, hair-thin rope or chain, fasteners, handles, sockets, and standardized bars or axles","major parts remain legible in orbit and can be grouped deterministically; no fused moving state, dense fastener noise, or warped repeated parts","Create exactly one low-poly medieval-fantasy sledge and travois carrier donor for Genesis. Variant: timber sledge. Functional purpose: Wheel-free hauling platform for rough ground, snow, mud, camp movement, and creature or humanoid drag teams. Match the supplied reference image exactly and preserve the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the timber sledge. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority. Exactly one coherent object or intentionally fused cluster."
20,A2,queued,M023-A,M023,A,mechanism,Pack frame and carrier rack,narrow back-frame,"Freestanding load-bearing framework that can receive bags, ore, firewood, bodies, cages, or ritual cargo.",900,reference-images/M023-A-pack-frame-and-carrier-rack-v1.png,incoming/M023-A-pack-frame-and-carrier-rack-smart-900.glb,processed/M023-A-pack-frame-and-carrier-rack-clean-v1.glb,"the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the narrow back-frame","animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority","dirty repeated wheels, hair-thin rope or chain, fasteners, handles, sockets, and standardized bars or axles","major parts remain legible in orbit and can be grouped deterministically; no fused moving state, dense fastener noise, or warped repeated parts","Create exactly one low-poly medieval-fantasy pack frame and carrier rack donor for Genesis. Variant: narrow back-frame. Functional purpose: Freestanding load-bearing framework that can receive bags, ore, firewood, bodies, cages, or ritual cargo. Match the supplied reference image exactly and preserve the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the narrow back-frame. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority. Exactly one coherent object or intentionally fused cluster."
20,A2,queued,M024-A,M024,A,mechanism,Counterweighted road barrier,simple boom gate,"Recognizable checkpoint mechanism with separately useful beam, pivot, weight, rope, and support.",1000,reference-images/M024-A-counterweighted-road-barrier-v1.png,incoming/M024-A-counterweighted-road-barrier-smart-1000.glb,processed/M024-A-counterweighted-road-barrier-clean-v1.glb,"the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the simple boom gate","animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority","dirty repeated wheels, hair-thin rope or chain, fasteners, handles, sockets, and standardized bars or axles","major parts remain legible in orbit and can be grouped deterministically; no fused moving state, dense fastener noise, or warped repeated parts","Create exactly one low-poly medieval-fantasy counterweighted road barrier donor for Genesis. Variant: simple boom gate. Functional purpose: Recognizable checkpoint mechanism with separately useful beam, pivot, weight, rope, and support. Match the supplied reference image exactly and preserve the main chassis, load-bearing frame, major moving volumes, readable mechanism, and separable large construction parts; for this row, specifically the simple boom gate. Use a few large deliberate construction-aligned planes, strong silhouette, thick mechanically legible parts, broad material regions, and honest open space. Do not add scenery, a floor base, characters, unrelated props, micro-clutter, text, labels, baked directional light, or any engine-owned feature: animation, pivots, sockets, standardized wheels or drums, rope and chain, collision, materials, cargo, state, damage logic, and gameplay authority. Exactly one coherent object or intentionally fused cluster."
