game,version,mapName,chapterOrId,sourceUrls,sourceType,captureView,nativeOrRescaled,playableWidthCells,playableHeightCells,traversableCellEstimate,framePlayableAreaPct,frameScenicContextPct,spawnToFirstDecisionCells,longestMandatoryApproachCells,likelyBacktrackCells,elevationBandCount,maxConsequentialElevationDelta,majorRouteCount,alternateRouteCount,shortLoopCount,chokepointCount,reachableHighGroundCount,sceneryOnlyHighMassCount,majorSilhouetteMassCount,broadMaterialFamilyCount,dominantTexelFrequencyEstimate,practicalLightCount,foregroundLayerPresent,midgroundLayerPresent,farFieldPresent,cameraRotationRange,cameraZoomRange,spriteDirectionEvidence,dynamicStateEvidence,notes,confidence
FFT,PSX/PSP original (five-angle render corpus),Bervenia Free City,MAP044,https://fantasyanime.com/finalfantasy/fftactics/fftacticsart_maps.zip (sha256 fe67a9fa…27bff); names: libfft fft.h (github.com/adamrt/libfft); exact per-tile grids: FFHacktics wiki via Wayback (URLs in local-captures/fft-ledger.json),community-map-render (from game data); id visually verified,view0 top-down + view1-4 quarter isometrics,"native render, 28px/tile (measured)",10,13 rendered / 14 data-grid,75-90 (visual; envelope 130),100 (non-void share of top-down envelope; includes in-grid water/rock),0 (void beyond composed edge),2-3,14-16,2-4,5,"9-10h (FFT h-units, visual est)",2,1,1,1,6,2,4,4,~28px/tile render; in-game ~16-32px effective texels/tile (estimate),0-2,no (board only),yes (the board),no (black void / composed edge),"4 fixed yaws (90° steps, player-rotatable)",2 zoom levels,"front+back three-quarter poses, engine-mirrored for opposite facings (documented sprite-sheet structure)",per-map: doors/gates in gate maps; Zeakden scripted fort fire (story); no persistent battle scarring (documented gameplay),urban verticality stress; terraces + tower tops; famous vertical fight; FFHacktics data grid 1 col wider than rendered extent (unrendered edge col) — both recorded,high
FFT,PSX/PSP original (five-angle render corpus),Inside of Windmill Shed,MAP073,https://fantasyanime.com/finalfantasy/fftactics/fftacticsart_maps.zip (sha256 fe67a9fa…27bff); names: libfft fft.h (github.com/adamrt/libfft); exact per-tile grids: FFHacktics wiki via Wayback (URLs in local-captures/fft-ledger.json),community-map-render (from game data); id visually verified,view0 top-down + view1-4 quarter isometrics,"native render, 28px/tile (measured)",7 rendered / 8 data-grid,8,45-50 (visual; envelope 56),98 (non-void share of top-down envelope; includes in-grid water/rock),2 (void beyond composed edge),2,8-10,1-2,2,"2h (FFT h-units, visual est)",1,0,0,1,1,1,2,3,~28px/tile render; in-game ~16-32px effective texels/tile (estimate),0-1,no (board only),yes (the board),no (black void / composed edge),"4 fixed yaws (90° steps, player-rotatable)",2 zoom levels,"front+back three-quarter poses, engine-mirrored for opposite facings (documented sprite-sheet structure)",per-map: doors/gates in gate maps; Zeakden scripted fort fire (story); no persistent battle scarring (documented gameplay),sparse duel interior; machine centerpiece; light shafts from slits; FFHacktics data grid 1 col wider than rendered extent (unrendered edge col) — both recorded,high
Genesis,current targets/fixtures @ 2026-07-29 (master b72228b3 / terrain 32b907ad / sites af99980e),scale-pass target: Site-02 Camp small (Roadside Sleep-and-Fire Stop),p01:site-02/01-small,Reference/Golden-Site-Ideal-Art/scale-pass-2026-07-28/PROMPT-SET.md; dev/clay-captures/*,target render (documented cell intent) or engine capture,fixed elevated three-quarter (production family),native,13,15,~165 (open camp; documented intent),target renders: playfield dominates frame (~70-85 visual est); context apron thin,~15-30 (visual est; context contract still unbuilt in engine),1-3 (active-window contract: arrival at/near first decision),bounded by window (≤ longest side),design goal: ~0 (movement doctrine),2,1-2 bands + hummock,1 + 1 service (site grammar),1 (licensed),0-1,1-2 (threshold grammar),2-4 (deck law),1-2,2-4 (grammar target),3-5 (few broad families rule),1.65 m/tile approved masonry scale (CL-R4b receipt); sprites NearestFilter texels,"lore-native only (torch reach 120ft, decay 1.5)","no (apron planned, unbuilt)",yes (board),"backdrop plate only (context bands 1-3 specced, unbuilt)",fixed production yaw (player rotation superseded 2026-07-22),governed pan/zoom (~8.3x closer max in Clayroom),single static standee per figure (pixel canon); emote variants licensed for bosses/PCs only,door instance/state machinery in Clayroom; layered durable-history + mutation channels ruled (unbuilt); events persist in world state,fire-centered social void beside road; terrain-owned hummock; PROMPT-SET documented ~13x15,documented intent (targets) / measured receipt (fixtures)
Genesis,current targets/fixtures @ 2026-07-29 (master b72228b3 / terrain 32b907ad / sites af99980e),engine capture: CL-F09 FFT hillside proof,p02:cl-f09,Reference/Golden-Site-Ideal-Art/scale-pass-2026-07-28/PROMPT-SET.md; dev/clay-captures/*,target render (documented cell intent) or engine capture,fixed elevated three-quarter (production family),native,~12 (est),~14 (est),~140 (est),target renders: playfield dominates frame (~70-85 visual est); context apron thin,~15-30 (visual est; context contract still unbuilt in engine),1-3 (active-window contract: arrival at/near first decision),bounded by window (≤ longest side),design goal: ~0 (movement doctrine),3,3-4 bands,1 + 1 service (site grammar),1 (licensed),0-1,1-2 (threshold grammar),2-4 (deck law),1-2,2-4 (grammar target),3-5 (few broad families rule),1.65 m/tile approved masonry scale (CL-R4b receipt); sprites NearestFilter texels,"lore-native only (torch reach 120ft, decay 1.5)","no (apron planned, unbuilt)",yes (board),"backdrop plate only (context bands 1-3 specced, unbuilt)",fixed production yaw (player rotation superseded 2026-07-22),governed pan/zoom (~8.3x closer max in Clayroom),single static standee per figure (pixel canon); emote variants licensed for bosses/PCs only,door instance/state machinery in Clayroom; layered durable-history + mutation channels ruled (unbuilt); events persist in world state,switchback route embeds in folded landform; retaining cuts; rock clusters; fixture dims estimated from grid overlay,documented intent (targets) / measured receipt (fixtures)
Genesis,current targets/fixtures @ 2026-07-29 (master b72228b3 / terrain 32b907ad / sites af99980e),scale-pass target: Site-02 Camp medium (Borrowed-Clearing Camp),p03:site-02/02-medium,Reference/Golden-Site-Ideal-Art/scale-pass-2026-07-28/PROMPT-SET.md; dev/clay-captures/*,target render (documented cell intent) or engine capture,fixed elevated three-quarter (production family),native,22,24,~450 (documented intent),target renders: playfield dominates frame (~70-85 visual est); context apron thin,~15-30 (visual est; context contract still unbuilt in engine),1-3 (active-window contract: arrival at/near first decision),bounded by window (≤ longest side),design goal: ~0 (movement doctrine),2,2 bands + saddle,1 + 1 service (site grammar),1 (licensed),0-1,1-2 (threshold grammar),2-4 (deck law),1-2,2-4 (grammar target),3-5 (few broad families rule),1.65 m/tile approved masonry scale (CL-R4b receipt); sprites NearestFilter texels,"lore-native only (torch reach 120ft, decay 1.5)","no (apron planned, unbuilt)",yes (board),"backdrop plate only (context bands 1-3 specced, unbuilt)",fixed production yaw (player rotation superseded 2026-07-22),governed pan/zoom (~8.3x closer max in Clayroom),single static standee per figure (pixel canon); emote variants licensed for bosses/PCs only,door instance/state machinery in Clayroom; layered durable-history + mutation channels ruled (unbuilt); events persist in world state,"three shelter footprints; compound hill shoulder; NON-HOMOLOGOUS to pure forest (clearing, not woods)",documented intent (targets) / measured receipt (fixtures)
Genesis,current targets/fixtures @ 2026-07-29 (master b72228b3 / terrain 32b907ad / sites af99980e),scale-pass target: Site-12 Substrate small (Bog Crossing),p04:site-12/01-small,Reference/Golden-Site-Ideal-Art/scale-pass-2026-07-28/PROMPT-SET.md; dev/clay-captures/*,target render (documented cell intent) or engine capture,fixed elevated three-quarter (production family),native,15,18,~120 (plank spine + banks; est),target renders: playfield dominates frame (~70-85 visual est); context apron thin,~15-30 (visual est; context contract still unbuilt in engine),1-3 (active-window contract: arrival at/near first decision),bounded by window (≤ longest side),design goal: ~0 (movement doctrine),2,1-2 bands + sag,1 + 1 service (site grammar),1 (licensed),0-1,1-2 (threshold grammar),2-4 (deck law),1-2,2-4 (grammar target),3-5 (few broad families rule),1.65 m/tile approved masonry scale (CL-R4b receipt); sprites NearestFilter texels,"lore-native only (torch reach 120ft, decay 1.5)","no (apron planned, unbuilt)",yes (board),"backdrop plate only (context bands 1-3 specced, unbuilt)",fixed production yaw (player rotation superseded 2026-07-22),governed pan/zoom (~8.3x closer max in Clayroom),single static standee per figure (pixel canon); emote variants licensed for bosses/PCs only,door instance/state machinery in Clayroom; layered durable-history + mutation channels ruled (unbuilt); events persist in world state,trusted plank spine over quaking mat; load-sensitive; matched to crossing archetype,documented intent (targets) / measured receipt (fixtures)
Genesis,current targets/fixtures @ 2026-07-29 (master b72228b3 / terrain 32b907ad / sites af99980e),DECLARED GAP — no Genesis snow/ice target or capture exists yet,p05:—,Reference/Golden-Site-Ideal-Art/scale-pass-2026-07-28/PROMPT-SET.md; dev/clay-captures/*,target render (documented cell intent) or engine capture,fixed elevated three-quarter (production family),native,—,—,—,target renders: playfield dominates frame (~70-85 visual est); context apron thin,~15-30 (visual est; context contract still unbuilt in engine),1-3 (active-window contract: arrival at/near first decision),bounded by window (≤ longest side),design goal: ~0 (movement doctrine),—,—,1 + 1 service (site grammar),1 (licensed),0-1,1-2 (threshold grammar),2-4 (deck law),1-2,2-4 (grammar target),3-5 (few broad families rule),1.65 m/tile approved masonry scale (CL-R4b receipt); sprites NearestFilter texels,"lore-native only (torch reach 120ft, decay 1.5)","no (apron planned, unbuilt)",yes (board),"backdrop plate only (context bands 1-3 specced, unbuilt)",fixed production yaw (player rotation superseded 2026-07-22),governed pan/zoom (~8.3x closer max in Clayroom),single static standee per figure (pixel canon); emote variants licensed for bosses/PCs only,door instance/state machinery in Clayroom; layered durable-history + mutation channels ruled (unbuilt); events persist in world state,snow/low-value environmental control absent from target set and engine captures at audit time,documented intent (targets) / measured receipt (fixtures)
Genesis,current targets/fixtures @ 2026-07-29 (master b72228b3 / terrain 32b907ad / sites af99980e),scale-pass target: Site-10 Urban medium (Market-Hall Slice),p06:site-10/02-medium,Reference/Golden-Site-Ideal-Art/scale-pass-2026-07-28/PROMPT-SET.md; dev/clay-captures/*,target render (documented cell intent) or engine capture,fixed elevated three-quarter (production family),native,26,30,~500 (documented intent),target renders: playfield dominates frame (~70-85 visual est); context apron thin,~15-30 (visual est; context contract still unbuilt in engine),1-3 (active-window contract: arrival at/near first decision),bounded by window (≤ longest side),design goal: ~0 (movement doctrine),3,2-3 bands + gallery,1 + 1 service (site grammar),1 (licensed),0-1,1-2 (threshold grammar),2-4 (deck law),1-2,2-4 (grammar target),3-5 (few broad families rule),1.65 m/tile approved masonry scale (CL-R4b receipt); sprites NearestFilter texels,"lore-native only (torch reach 120ft, decay 1.5)","no (apron planned, unbuilt)",yes (board),"backdrop plate only (context bands 1-3 specced, unbuilt)",fixed production yaw (player rotation superseded 2026-07-22),governed pan/zoom (~8.3x closer max in Clayroom),single static standee per figure (pixel canon); emote variants licensed for bosses/PCs only,door instance/state machinery in Clayroom; layered durable-history + mutation channels ruled (unbuilt); events persist in world state,two street ends; open-post hall; upper gallery/roofline deck; largest urban intent,documented intent (targets) / measured receipt (fixtures)
Genesis,current targets/fixtures @ 2026-07-29 (master b72228b3 / terrain 32b907ad / sites af99980e),scale-pass target: Site-09 Fortress small (Rising Gate Window),p07:site-09/01-small,Reference/Golden-Site-Ideal-Art/scale-pass-2026-07-28/PROMPT-SET.md; dev/clay-captures/*,target render (documented cell intent) or engine capture,fixed elevated three-quarter (production family),native,18,22,~250 (documented intent),target renders: playfield dominates frame (~70-85 visual est); context apron thin,~15-30 (visual est; context contract still unbuilt in engine),1-3 (active-window contract: arrival at/near first decision),bounded by window (≤ longest side),design goal: ~0 (movement doctrine),4,3-4 bands,1 + 1 service (site grammar),1 (licensed),0-1,1-2 (threshold grammar),2-4 (deck law),1-2,2-4 (grammar target),3-5 (few broad families rule),1.65 m/tile approved masonry scale (CL-R4b receipt); sprites NearestFilter texels,"lore-native only (torch reach 120ft, decay 1.5)","no (apron planned, unbuilt)",yes (board),"backdrop plate only (context bands 1-3 specced, unbuilt)",fixed production yaw (player rotation superseded 2026-07-22),governed pan/zoom (~8.3x closer max in Clayroom),single static standee per figure (pixel canon); emote variants licensed for bosses/PCs only,door instance/state machinery in Clayroom; layered durable-history + mutation channels ruled (unbuilt); events persist in world state,"gate mass, rising approach, causeway, two barriers, control gallery, camera-far gatehouse",documented intent (targets) / measured receipt (fixtures)
Genesis,current targets/fixtures @ 2026-07-29 (master b72228b3 / terrain 32b907ad / sites af99980e),scale-pass target: Site-04 Monastery medium (Level Wrapped Court),p08:site-04/02-medium,Reference/Golden-Site-Ideal-Art/scale-pass-2026-07-28/PROMPT-SET.md; dev/clay-captures/*,target render (documented cell intent) or engine capture,fixed elevated three-quarter (production family),native,24,26,~480 (documented intent),target renders: playfield dominates frame (~70-85 visual est); context apron thin,~15-30 (visual est; context contract still unbuilt in engine),1-3 (active-window contract: arrival at/near first decision),bounded by window (≤ longest side),design goal: ~0 (movement doctrine),3,2-3 bands,1 + 1 service (site grammar),1 (licensed),0-1,1-2 (threshold grammar),2-4 (deck law),1-2,2-4 (grammar target),3-5 (few broad families rule),1.65 m/tile approved masonry scale (CL-R4b receipt); sprites NearestFilter texels,"lore-native only (torch reach 120ft, decay 1.5)","no (apron planned, unbuilt)",yes (board),"backdrop plate only (context bands 1-3 specced, unbuilt)",fixed production yaw (player rotation superseded 2026-07-22),governed pan/zoom (~8.3x closer max in Clayroom),single static standee per figure (pixel canon); emote variants licensed for bosses/PCs only,door instance/state machinery in Clayroom; layered durable-history + mutation channels ruled (unbuilt); events persist in world state,"spur approach, level court, arcade, processional stair, head platform",documented intent (targets) / measured receipt (fixtures)
Genesis,current targets/fixtures @ 2026-07-29 (master b72228b3 / terrain 32b907ad / sites af99980e),scale-pass target: Site-05 Mine medium (Strained Drift),p09:site-05/02-medium,Reference/Golden-Site-Ideal-Art/scale-pass-2026-07-28/PROMPT-SET.md; dev/clay-captures/*,target render (documented cell intent) or engine capture,fixed elevated three-quarter (production family),native,24,28,~500 (documented intent),target renders: playfield dominates frame (~70-85 visual est); context apron thin,~15-30 (visual est; context contract still unbuilt in engine),1-3 (active-window contract: arrival at/near first decision),bounded by window (≤ longest side),design goal: ~0 (movement doctrine),4,4-5 bands incl. flooded datum,1 + 1 service (site grammar),1 (licensed),0-1,1-2 (threshold grammar),2-4 (deck law),1-2,2-4 (grammar target),3-5 (few broad families rule),1.65 m/tile approved masonry scale (CL-R4b receipt); sprites NearestFilter texels,"lore-native only (torch reach 120ft, decay 1.5)","no (apron planned, unbuilt)",yes (board),"backdrop plate only (context bands 1-3 specced, unbuilt)",fixed production yaw (player rotation superseded 2026-07-22),governed pan/zoom (~8.3x closer max in Clayroom),single static standee per figure (pixel canon); emote variants licensed for bosses/PCs only,door instance/state machinery in Clayroom; layered durable-history + mutation channels ruled (unbuilt); events persist in world state,"portal, face, haul ramp, manway loop, flooding lower branch, failing pump",documented intent (targets) / measured receipt (fixtures)
Genesis,current targets/fixtures @ 2026-07-29 (master b72228b3 / terrain 32b907ad / sites af99980e),engine capture: CL-F05 trimmed structures (production renderer),p10:cl-r5-v005,Reference/Golden-Site-Ideal-Art/scale-pass-2026-07-28/PROMPT-SET.md; dev/clay-captures/*,target render (documented cell intent) or engine capture,fixed elevated three-quarter (production family),native,15,15,~200 (clayroom fixture; rooms subset),target renders: playfield dominates frame (~70-85 visual est); context apron thin,~15-30 (visual est; context contract still unbuilt in engine),1-3 (active-window contract: arrival at/near first decision),bounded by window (≤ longest side),design goal: ~0 (movement doctrine),2,1-2 bands + platform,1 + 1 service (site grammar),1 (licensed),0-1,1-2 (threshold grammar),2-4 (deck law),1-2,2-4 (grammar target),3-5 (few broad families rule),1.65 m/tile approved masonry scale (CL-R4b receipt); sprites NearestFilter texels,"lore-native only (torch reach 120ft, decay 1.5)","no (apron planned, unbuilt)",yes (board),"backdrop plate only (context bands 1-3 specced, unbuilt)",fixed production yaw (player rotation superseded 2026-07-22),governed pan/zoom (~8.3x closer max in Clayroom),single static standee per figure (pixel canon); emote variants licensed for bosses/PCs only,door instance/state machinery in Clayroom; layered durable-history + mutation channels ruled (unbuilt); events persist in world state,twin trimmed rooms on 15x15 movement fixture; approved masonry parents; interior register,documented intent (targets) / measured receipt (fixtures)
